,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
friend,2,0.510204082,best,2,0.503778338,graces,2,0.4784689,toward,2,0.383877159,grave,2,0.465116279,TRUE,2,0.476190476,tyrant,2,0.473933649,help,2,0.487804878,together,2,0.495049505,bleeding,1,0.214132762
owl,2,0.510204082,whither,2,0.503778338,lord,2,0.4784689,vanish,2,0.383877159,son,2,0.465116279,means,2,0.476190476,sisters,2,0.473933649,aid,2,0.487804878,sometime,2,0.495049505,horrors,1,0.214132762
seize,1,0.255102041,round,2,0.503778338,play,2,0.4784689,day's,2,0.383877159,what's,2,0.465116279,command,2,0.476190476,son,2,0.473933649,due,2,0.487804878,use,2,0.495049505,nightgown,1,0.214132762
destroy,1,0.255102041,home,2,0.503778338,son,2,0.4784689,catch,2,0.383877159,since,2,0.465116279,he's,2,0.476190476,gentlemen,2,0.473933649,execution,2,0.487804878,second,2,0.495049505,full,1,0.214132762
horrors,1,0.255102041,addition,2,0.503778338,hell,2,0.4784689,mortal,2,0.383877159,last,2,0.465116279,sword,2,0.476190476,gone,2,0.473933649,terrible,2,0.487804878,torch,2,0.495049505,ten,1,0.214132762
entrance,1,0.255102041,to-night,2,0.503778338,tree,2,0.4784689,servants,2,0.383877159,v,1,0.23255814,single,2,0.476190476,bleed,2,0.473933649,new,2,0.487804878,summons,2,0.495049505,cries,1,0.214132762
ten,1,0.255102041,memory,2,0.503778338,yield,2,0.4784689,glamis,2,0.383877159,ye,1,0.23255814,doctor,2,0.476190476,alive,2,0.473933649,ever,2,0.487804878,remember,2,0.495049505,blame,1,0.214132762
body,1,0.255102041,any,2,0.503778338,relate,2,0.4784689,valiant,2,0.383877159,succeeding,1,0.23255814,worse,1,0.238095238,sword,2,0.473933649,leave,2,0.487804878,hark,2,0.495049505,fare,1,0.214132762
knell,1,0.255102041,attendants,2,0.503778338,fell,2,0.4784689,stood,2,0.383877159,full,1,0.23255814,quarrel,1,0.238095238,cheer,2,0.473933649,v,1,0.243902439,bear,2,0.495049505,fancies,1,0.214132762
obedience,1,0.255102041,gone,2,0.503778338,quickly,2,0.4784689,thing,2,0.383877159,moon,1,0.23255814,manly,1,0.238095238,leave,2,0.473933649,bleeding,1,0.243902439,minds,2,0.495049505,cousin,1,0.214132762
