,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,,,,,,,,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,,,,,,,
sure,1,0.199600798,course,1,0.165562914,fairly,1,0.17921147,drew,1,0.160513644,enemies,1,0.17211704,roaring,1,0.160513644,brags,1,0.168918919,hie,1,0.168067227,fairly,1,0.173611111,ended,1,0.163666121,,,,,,,
misery,1,0.199600798,rude,1,0.165562914,citizen,1,0.17921147,awhile,1,0.160513644,giving,1,0.17211704,new-made,1,0.160513644,awhile,1,0.168918919,conceit,1,0.168067227,remain,1,0.173611111,blow,1,0.163666121,,,,,,,
who,1,0.199600798,'twas,1,0.165562914,broad,1,0.17921147,makes,1,0.160513644,drew,1,0.17211704,wound,1,0.160513644,pity,1,0.168918919,hands,1,0.168067227,bound,1,0.173611111,show,1,0.163666121,,,,,,,
sea,1,0.199600798,spite,1,0.165562914,kill'd,1,0.17921147,hangs,1,0.160513644,patience,1,0.17211704,show,1,0.160513644,patience,1,0.168918919,wherefore,1,0.168067227,veins,1,0.173611111,hadst,1,0.163666121,,,,,,,
bosom,1,0.199600798,loving,1,0.165562914,read,1,0.17921147,guilty,1,0.160513644,lamb,1,0.17211704,conduct,1,0.160513644,guilty,1,0.168918919,lovers,1,0.168067227,outrage,1,0.173611111,rage,1,0.163666121,,,,,,,
ground,1,0.199600798,tyrant,1,0.165562914,ease,1,0.17921147,roaring,1,0.160513644,tears,1,0.17211704,word,1,0.160513644,lamb,1,0.168918919,street,1,0.168067227,quickly,1,0.173611111,saint,1,0.163666121,,,,,,,
woes,1,0.199600798,lovely,1,0.165562914,stars,1,0.17921147,new-made,1,0.160513644,whom,1,0.17211704,solemnity,1,0.160513644,sentence,1,0.168918919,match,1,0.168067227,hands,1,0.173611111,powder,1,0.163666121,,,,,,,
street,1,0.199600798,get,1,0.165562914,bound,1,0.17921147,show,1,0.160513644,story,1,0.17211704,pray,1,0.160513644,henceforward,1,0.168918919,aqua,1,0.168067227,wherefore,1,0.173611111,quiet,1,0.163666121,,,,,,,
ways,1,0.199600798,private,1,0.165562914,nay,1,0.17921147,whom,1,0.160513644,solemnity,1,0.17211704,rage,1,0.160513644,show,1,0.168918919,confess,1,0.168067227,beauty,1,0.173611111,ruled,1,0.163666121,,,,,,,
sighs,1,0.199600798,madam,1,0.165562914,hie,1,0.17921147,story,1,0.160513644,saint,1,0.17211704,forbid,1,0.160513644,lends,1,0.168918919,o',1,0.168067227,fool,1,0.173611111,shot,1,0.163666121,,,,,,,
woo,1,0.199600798,attend,1,0.165562914,he's,1,0.17921147,lends,1,0.160513644,consent,1,0.17211704,ruled,1,0.160513644,word,1,0.168918919,shrift,1,0.168067227,abroad,1,0.173611111,stars,1,0.163666121,,,,,,,
sour,1,0.199600798,presence,1,0.165562914,laying,1,0.17921147,wild,1,0.160513644,airy,1,0.17211704,remain,1,0.160513644,prison,1,0.168918919,woo,1,0.168067227,street,1,0.173611111,nay,1,0.163666121,,,,,,,
sworn,1,0.199600798,dares,1,0.165562914,hands,1,0.17921147,dreams,1,0.160513644,forsworn,1,0.17211704,craves,1,0.160513644,wretch,1,0.168918919,toil,1,0.168067227,servants,1,0.173611111,craves,1,0.163666121,,,,,,,
amen,1,0.199600798,oft,1,0.165562914,fool,1,0.17921147,powder,1,0.160513644,citizen,1,0.17211704,hie,1,0.160513644,mistress',1,0.168918919,cause,1,0.168067227,cause,1,0.173611111,untimely,1,0.163666121,,,,,,,
honey,1,0.199600798,giving,1,0.165562914,lovers,1,0.17921147,pilot,1,0.160513644,brother,1,0.17211704,conceit,1,0.160513644,citizen,1,0.168918919,small,1,0.168067227,strife,1,0.173611111,hie,1,0.163666121,,,,,,,
ears,1,0.199600798,birth,1,0.165562914,ground,1,0.17921147,montagues,1,0.160513644,stars,1,0.17211704,hands,1,0.160513644,respect,1,0.168918919,honey,1,0.168067227,burnt,1,0.173611111,hands,1,0.163666121,,,,,,,
laurence',1,0.199600798,john,1,0.165562914,street,1,0.17921147,supposed,1,0.160513644,merry,1,0.17211704,vitae,1,0.160513644,broad,1,0.168918919,streaks,1,0.168067227,siege,1,0.173611111,last,1,0.163666121,,,,,,,
girl,1,0.199600798,awhile,1,0.165562914,[within],1,0.17921147,beshrew,1,0.160513644,sits,1,0.17211704,brains,1,0.160513644,ease,1,0.168918919,pardon,1,0.168067227,ears,1,0.173611111,vitae,1,0.163666121,,,,,,,
reign,1,0.199600798,pity,1,0.165562914,wisely,1,0.17921147,merry,1,0.160513644,untimely,1,0.17211704,city,1,0.160513644,stars,1,0.168918919,own,1,0.168067227,hard,1,0.173611111,beauty,1,0.163666121,,,,,,,
fault,1,0.199600798,friar,1,0.165562914,hire,1,0.17921147,descend,1,0.160513644,quickly,1,0.17211704,sullen,1,0.160513644,swords,1,0.168918919,laurence',1,0.168067227,else,1,0.173611111,ground,1,0.163666121,,,,,,,
waste,1,0.199600798,blow,1,0.165562914,sighs,1,0.17921147,order,1,0.160513644,wherefore,1,0.17211704,ways,1,0.160513644,sure,1,0.168918919,woman,1,0.168067227,woman,1,0.173611111,sullen,1,0.163666121,,,,,,,
soft,1,0.199600798,lends,1,0.165562914,help,1,0.17921147,sits,1,0.160513644,burning,1,0.17211704,wisely,1,0.160513644,burning,1,0.168918919,lightning,1,0.168067227,girl,1,0.173611111,wind,1,0.163666121,,,,,,,
spent,1,0.199600798,wretch,1,0.165562914,amen,1,0.17921147,outrage,1,0.160513644,fool,1,0.17211704,aqua,1,0.160513644,quoth,1,0.168918919,waste,1,0.168067227,lain,1,0.173611111,think'st,1,0.163666121,,,,,,,
smile,1,0.199600798,forbid,1,0.165562914,murders,1,0.17921147,laying,1,0.160513644,ground,1,0.17211704,thought,1,0.160513644,brows,1,0.168918919,spent,1,0.168067227,point,1,0.173611111,servants,1,0.163666121,,,,,,,
buried,1,0.199600798,herself,1,0.165562914,arms,1,0.17921147,ope,1,0.160513644,balthasar,1,0.17211704,shrift,1,0.160513644,women,1,0.168918919,fine,1,0.168067227,seeming,1,0.173611111,brings,1,0.163666121,,,,,,,
cry,1,0.199600798,respect,1,0.165562914,small,1,0.17921147,swords,1,0.160513644,wind,1,0.17211704,amen,1,0.160513644,sea,1,0.168918919,stol'n,1,0.168067227,finger,1,0.173611111,wisely,1,0.163666121,,,,,,,
almost,1,0.199600798,montagues,1,0.165562914,lent,1,0.17921147,misery,1,0.160513644,abroad,1,0.17211704,cause,1,0.160513644,looks,1,0.168918919,o'er,1,0.168067227,very,1,0.173611111,minute,1,0.163666121,,,,,,,
salt,1,0.199600798,demesnes,1,0.165562914,door,1,0.17921147,who,1,0.160513644,street,1,0.17211704,door,1,0.160513644,woes,1,0.168918919,god's,1,0.168067227,disposition,1,0.173611111,sour,1,0.163666121,,,,,,,
carry,1,0.199600798,stars,1,0.165562914,confessor,1,0.17921147,bosom,1,0.160513644,wisely,1,0.17211704,pardon,1,0.160513644,think'st,1,0.168918919,shake,1,0.168067227,soft,1,0.173611111,help,1,0.163666121,,,,,,,
wedded,1,0.199600798,craves,1,0.165562914,got,1,0.17921147,city,1,0.160513644,question,1,0.17211704,ornaments,1,0.160513644,[within],1,0.168918919,lodging,1,0.168067227,eyesight,1,0.173611111,murders,1,0.163666121,,,,,,,
law,1,0.199600798,order,1,0.165562914,dram,1,0.17921147,abroad,1,0.160513644,sighs,1,0.17211704,laurence',1,0.160513644,sighs,1,0.168918919,cold,1,0.168067227,love's,1,0.173611111,juliet's,1,0.163666121,,,,,,,
moved,1,0.199600798,he's,1,0.165562914,seeming,1,0.17921147,woes,1,0.160513644,shrift,1,0.17211704,body,1,0.160513644,date,1,0.168918919,afternoon,1,0.168067227,learn,1,0.173611111,sitting,1,0.163666121,,,,,,,
afternoon,1,0.199600798,beauty,1,0.165562914,soft,1,0.17921147,street,1,0.160513644,date,1,0.17211704,girl,1,0.160513644,vex'd,1,0.168918919,nature,1,0.168067227,salt,1,0.173611111,streaks,1,0.163666121,,,,,,,
there's,1,0.199600798,brains,1,0.165562914,fine,1,0.17921147,[within],1,0.160513644,vex'd,1,0.17211704,got,1,0.160513644,woo,1,0.168918919,blessed,1,0.168067227,blush,1,0.173611111,pardon,1,0.163666121,,,,,,,
ware,1,0.199600798,city,1,0.165562914,counsellor,1,0.17921147,form,1,0.160513644,toil,1,0.17211704,bone,1,0.160513644,amen,1,0.168918919,enters,1,0.168067227,child,1,0.173611111,own,1,0.163666121,,,,,,,
fellows,1,0.199600798,lovers,1,0.165562914,advanced,1,0.17921147,brings,1,0.160513644,cause,1,0.17211704,fast,1,0.160513644,murders,1,0.168918919,wealth,1,0.168067227,spirit,1,0.173611111,lightning,1,0.163666121,,,,,,,
piteous,1,0.199600798,wind,1,0.165562914,swear,1,0.17921147,question,1,0.160513644,else,1,0.17211704,tybalt's,1,0.160513644,delight,1,0.168918919,sharp,1,0.168067227,fury,1,0.173611111,point,1,0.163666121,,,,,,,
vile,1,0.199600798,match,1,0.165562914,presses,1,0.17921147,sighs,1,0.160513644,ornaments,1,0.17211704,seen,1,0.160513644,ears,1,0.168918919,hurt,1,0.168067227,jealous,1,0.173611111,tybalt's,1,0.163666121,,,,,,,
ha,1,0.199600798,wisely,1,0.165562914,born,1,0.17921147,thought,1,0.160513644,winds,1,0.17211704,windows,1,0.160513644,sole,1,0.168918919,tidings,1,0.168067227,need,1,0.173611111,fray,1,0.163666121,,,,,,,
flesh,1,0.199600798,date,1,0.165562914,care,1,0.17921147,minute,1,0.160513644,woman,1,0.17211704,cry,1,0.160513644,ill-beseeming,1,0.168918919,piteous,1,0.168067227,re-enter,1,0.173611111,ten,1,0.163666121,,,,,,,
cheeks,1,0.199600798,woo,1,0.165562914,miserable,1,0.17921147,toil,1,0.160513644,girl,1,0.17211704,troth,1,0.160513644,confessor,1,0.168918919,wise,1,0.168067227,souls,1,0.173611111,book,1,0.163666121,,,,,,,
walk,1,0.199600798,chamber,1,0.165562914,wedded,1,0.17921147,arms,1,0.160513644,waste,1,0.17211704,advanced,1,0.160513644,own,1,0.168918919,flesh,1,0.168067227,vile,1,0.173611111,news,1,0.163666121,,,,,,,
five,1,0.199600798,cause,1,0.165562914,law,1,0.17921147,honey,1,0.160513644,soft,1,0.17211704,almost,1,0.160513644,got,1,0.168918919,yea,1,0.168067227,arise,1,0.173611111,press,1,0.163666121,,,,,,,
dream,1,0.199600798,strife,1,0.165562914,cold,1,0.17921147,juliet's,1,0.160513644,windows,1,0.17211704,nature's,1,0.160513644,lightning,1,0.168918919,ran,1,0.168067227,though,1,0.173611111,civil,1,0.163666121,,,,,,,
substance,1,0.199600798,small,1,0.165562914,work,1,0.17921147,body,1,0.160513644,stands,1,0.17211704,borrow'd,1,0.160513644,simple,1,0.168918919,five,1,0.168067227,flesh,1,0.173611111,eyes,1,0.163666121,,,,,,,
warm,1,0.199600798,burnt,1,0.165562914,here's,1,0.17921147,lightning,1,0.160513644,ask,1,0.17211704,prosperous,1,0.160513644,soft,1,0.168918919,torture,1,0.168067227,marry,1,0.173611111,festival,1,0.163666121,,,,,,,
sit,1,0.199600798,siege,1,0.165562914,served,1,0.17921147,reign,1,0.160513644,eyesight,1,0.17211704,dinner,1,0.160513644,spent,1,0.168918919,passado,1,0.168067227,dream,1,0.173611111,years,1,0.163666121,,,,,,,
remember,1,0.199600798,ill-beseeming,1,0.165562914,need,1,0.17921147,dram,1,0.160513644,presses,1,0.17211704,francis,1,0.160513644,fast,1,0.168918919,sit,1,0.168067227,torture,1,0.173611111,under,1,0.163666121,,,,,,,
side,1,0.199600798,letters,1,0.165562914,re-enter,1,0.17921147,point,1,0.160513644,along,1,0.17211704,gave,1,0.160513644,smile,1,0.168918919,remember,1,0.168067227,dim,1,0.173611111,spirit,1,0.163666121,,,,,,,
fairer,1,0.199600798,sitting,1,0.165562914,shamest,1,0.17921147,fault,1,0.160513644,flower,1,0.17211704,doubt,1,0.160513644,ten,1,0.168918919,alike,1,0.168067227,dew,1,0.173611111,here's,1,0.163666121,,,,,,,
times,1,0.199600798,comfort,1,0.165562914,hurt,1,0.17921147,finger,1,0.160513644,burden,1,0.17211704,o'er,1,0.160513644,stands,1,0.168918919,friend,1,0.168067227,bride,1,0.173611111,native,1,0.163666121,,,,,,,
mother,1,0.199600798,else,1,0.165562914,fellows,1,0.17921147,mayst,1,0.160513644,under,1,0.17211704,festival,1,0.160513644,book,1,0.168918919,motion,1,0.168067227,full,1,0.173611111,tedious,1,0.163666121,,,,,,,
triumph,1,0.199600798,winds,1,0.165562914,though,1,0.17921147,seen,1,0.160513644,fury,1,0.17211704,carry,1,0.160513644,ask,1,0.168918919,fairer,1,0.168067227,fire,1,0.173611111,jack,1,0.163666121,,,,,,,
laurence's,1,0.199600798,bone,1,0.165562914,terror,1,0.17921147,cry,1,0.160513644,sleeps,1,0.17211704,years,1,0.160513644,cry,1,0.168918919,times,1,0.168067227,side,1,0.173611111,need,1,0.163666121,,,,,,,
seems,1,0.199600798,grown,1,0.165562914,cheeks,1,0.17921147,advanced,1,0.160513644,tender,1,0.17211704,miserable,1,0.160513644,troth,1,0.168918919,mother,1,0.168067227,mother,1,0.173611111,there's,1,0.163666121,,,,,,,
gear,1,0.199600798,seeming,1,0.165562914,walk,1,0.17921147,almost,1,0.160513644,native,1,0.17211704,work,1,0.160513644,swear,1,0.168918919,laurence's,1,0.168067227,triumph,1,0.173611111,bridegroom,1,0.163666121,,,,,,,
worser,1,0.199600798,very,1,0.165562914,ornament,1,0.17921147,borrow'd,1,0.160513644,wealth,1,0.17211704,jack,1,0.160513644,nature's,1,0.168918919,hateful,1,0.168067227,hateful,1,0.173611111,hurt,1,0.163666121,,,,,,,
lest,1,0.199600798,disposition,1,0.165562914,dew,1,0.17921147,prosperous,1,0.160513644,there's,1,0.17211704,ashes,1,0.160513644,along,1,0.168918919,challenge,1,0.168067227,peter,1,0.173611111,tidings,1,0.163666121,,,,,,,
underneath,1,0.199600798,fast,1,0.165562914,morn,1,0.17921147,press,1,0.160513644,though,1,0.17211704,there's,1,0.160513644,flower,1,0.168918919,begin,1,0.168067227,mercutio's,1,0.173611111,having,1,0.163666121,,,,,,,
fain,1,0.199600798,counsellor,1,0.165562914,gold,1,0.17921147,francis,1,0.160513644,four,1,0.17211704,tush,1,0.160513644,law,1,0.168918919,gentleman,1,0.168067227,aught,1,0.173611111,obey,1,0.163666121,,,,,,,
return,1,0.199600798,ask,1,0.165562914,bride,1,0.17921147,gave,1,0.160513644,ago,1,0.17211704,re-enter,1,0.160513644,heard,1,0.168918919,dry,1,0.168067227,courteous,1,0.173611111,vile,1,0.163666121,,,,,,,
wast,1,0.199600798,swear,1,0.165562914,bloody,1,0.17921147,doubt,1,0.160513644,touch,1,0.17211704,happily,1,0.160513644,sail,1,0.168918919,courteous,1,0.168067227,possess'd,1,0.173611111,though,1,0.163666121,,,,,,,
beauties,1,0.199600798,foot,1,0.165562914,twain,1,0.17921147,foot,1,0.160513644,torture,1,0.17211704,knave,1,0.160513644,hearts,1,0.168918919,public,1,0.168067227,hit,1,0.173611111,marry,1,0.163666121,,,,,,,
remedy,1,0.199600798,o'er,1,0.165562914,motion,1,0.17921147,stol'n,1,0.160513644,let's,1,0.17211704,wise,1,0.160513644,work,1,0.168918919,past,1,0.168067227,lest,1,0.173611111,ago,1,0.163666121,,,,,,,
unless,1,0.199600798,care,1,0.165562914,adieu,1,0.17921147,flower,1,0.160513644,substance,1,0.17211704,ne'er,1,0.160513644,spirit,1,0.168918919,beauteous,1,0.168067227,hap,1,0.173611111,happy,1,0.163666121,,,,,,,
lights,1,0.199600798,grace,1,0.165562914,green,1,0.17921147,shake,1,0.160513644,note,1,0.17211704,terror,1,0.160513644,remove,1,0.168918919,fie,1,0.168067227,doing,1,0.173611111,torture,1,0.163666121,,,,,,,
arm'd,1,0.199600798,law,1,0.165562914,mercy,1,0.17921147,lodging,1,0.160513644,fly,1,0.17211704,four,1,0.160513644,moved,1,0.168918919,wouldst,1,0.168067227,new,1,0.173611111,passado,1,0.163666121,,,,,,,
match'd,1,0.199600798,heard,1,0.165562914,challenge,1,0.17921147,under,1,0.160513644,fire,1,0.17211704,drift,1,0.160513644,nature,1,0.168918919,fain,1,0.168067227,hair,1,0.173611111,substance,1,0.163666121,,,,,,,
manners,1,0.199600798,cold,1,0.165562914,peter,1,0.17921147,work,1,0.160513644,times,1,0.17211704,cheeks,1,0.160513644,blessed,1,0.168918919,follow,1,0.168067227,beats,1,0.173611111,bride,1,0.163666121,,,,,,,
eye,1,0.199600798,remove,1,0.165562914,mercutio's,1,0.17921147,spirit,1,0.160513644,mother,1,0.17211704,walk,1,0.160513644,ashes,1,0.168918919,iv,1,0.168067227,follow,1,0.173611111,full,1,0.163666121,,,,,,,
womanish,1,0.199600798,here's,1,0.165562914,she'll,1,0.17921147,fury,1,0.160513644,rich,1,0.17211704,fit,1,0.160513644,bore,1,0.168918919,bow,1,0.168067227,crow,1,0.173611111,bloody,1,0.163666121,,,,,,,
spring,1,0.199600798,tender,1,0.165562914,dry,1,0.17921147,here's,1,0.160513644,mercutio's,1,0.17211704,seal'd,1,0.160513644,shamest,1,0.168918919,wast,1,0.168067227,wisdom,1,0.173611111,woful,1,0.163666121,,,,,,,
guests,1,0.199600798,afternoon,1,0.165562914,is't,1,0.17921147,sleeps,1,0.160513644,begin,1,0.17211704,sit,1,0.160513644,discords,1,0.168918919,quick,1,0.168067227,enmity,1,0.173611111,fly,1,0.163666121,,,,,,,
ring,1,0.199600798,blessed,1,0.165562914,courteous,1,0.17921147,hollow,1,0.160513644,sirrah,1,0.17211704,noise,1,0.160513644,wise,1,0.168918919,wretched,1,0.168067227,manners,1,0.173611111,green,1,0.163666121,,,,,,,
straight,1,0.199600798,served,1,0.165562914,lest,1,0.17921147,enters,1,0.160513644,public,1,0.17211704,high,1,0.160513644,though,1,0.168918919,ring,1,0.168067227,wretched,1,0.173611111,laurence's,1,0.163666121,,,,,,,
gives,1,0.199600798,sick,1,0.165562914,wagoner,1,0.17921147,tedious,1,0.160513644,wagoner,1,0.17211704,cross,1,0.160513644,drift,1,0.168918919,groans,1,0.168067227,womanish,1,0.173611111,charge,1,0.163666121,,,,,,,
honest,1,0.199600798,curtains,1,0.165562914,past,1,0.17921147,sharp,1,0.160513644,past,1,0.17211704,adieu,1,0.160513644,cheeks,1,0.168918919,black,1,0.168067227,hid,1,0.173611111,lips,1,0.163666121,,,,,,,
breathed,1,0.199600798,souls,1,0.165562914,fie,1,0.17921147,bore,1,0.160513644,hap,1,0.17211704,laurence's,1,0.160513644,walk,1,0.168918919,appear,1,0.168067227,groans,1,0.173611111,mercutio's,1,0.163666121,,,,,,,
entrance,1,0.199600798,hurt,1,0.165562914,smiles,1,0.17921147,there's,1,0.160513644,oppression,1,0.17211704,ta'en,1,0.160513644,paper,1,0.168918919,heart,1,0.168067227,stony,1,0.173611111,ta'en,1,0.163666121,,,,,,,
wert,1,0.199600798,happily,1,0.165562914,doing,1,0.17921147,tush,1,0.160513644,hot,1,0.17211704,itself,1,0.160513644,marry,1,0.168918919,adventure,1,0.168067227,skulls,1,0.173611111,&,1,0.163666121,,,,,,,
met,1,0.199600798,ware,1,0.165562914,underneath,1,0.17921147,trust,1,0.160513644,fain,1,0.17211704,way,1,0.160513644,dream,1,0.168918919,bad,1,0.168067227,haste,1,0.173611111,itself,1,0.163666121,,,,,,,
afore,1,0.199600798,flesh,1,0.165562914,new,1,0.17921147,tidings,1,0.160513644,knight,1,0.17211704,learn'd,1,0.160513644,joints,1,0.168918919,gives,1,0.168067227,soundly,1,0.173611111,gentleman,1,0.163666121,,,,,,,
,,,paper,1,0.165562914,seest,1,0.17921147,piteous,1,0.160513644,iv,1,0.17211704,follow,1,0.160513644,ornament,1,0.168918919,offer,1,0.168067227,murder'd,1,0.173611111,is't,1,0.163666121,,,,,,,
,,,marry,1,0.165562914,fain,1,0.17921147,obey,1,0.160513644,breast,1,0.17211704,dismal,1,0.160513644,let's,1,0.168918919,liberty,1,0.168067227,cupid,1,0.173611111,possess'd,1,0.163666121,,,,,,,
,,,happy,1,0.165562914,aside,1,0.17921147,vile,1,0.160513644,prince,1,0.17211704,return,1,0.160513644,end,1,0.168918919,choice,1,0.168067227,infection,1,0.173611111,happiness,1,0.163666121,,,,,,,
,,,five,1,0.165562914,blind,1,0.17921147,flesh,1,0.160513644,death's,1,0.17211704,falls,1,0.160513644,fly,1,0.168918919,met,1,0.168067227,shape,1,0.173611111,hit,1,0.163666121,,,,,,,
,,,sit,1,0.165562914,stabs,1,0.17921147,yea,1,0.160513644,sent,1,0.17211704,remedy,1,0.160513644,friend,1,0.168918919,,,,on't,1,0.173611111,blows,1,0.163666121,,,,,,,
,,,noise,1,0.165562914,fatal,1,0.17921147,fit,1,0.160513644,black,1,0.17211704,whole,1,0.160513644,side,1,0.168918919,,,,horses,1,0.173611111,hot,1,0.163666121,,,,,,,
,,,bloody,1,0.165562914,breast,1,0.17921147,lost,1,0.160513644,bad,1,0.17211704,unless,1,0.160513644,warrant,1,0.168918919,,,,,,,pale,1,0.163666121,,,,,,,
,,,remember,1,0.165562914,match'd,1,0.17921147,happy,1,0.160513644,stony,1,0.17211704,wretched,1,0.160513644,took,1,0.168918919,,,,,,,aside,1,0.163666121,,,,,,,
,,,note,1,0.165562914,jest,1,0.17921147,seal'd,1,0.160513644,things,1,0.17211704,knew,1,0.160513644,greeting,1,0.168918919,,,,,,,beats,1,0.163666121,,,,,,,
,,,fire,1,0.165562914,death's,1,0.17921147,dim,1,0.160513644,smooth,1,0.17211704,guests,1,0.160513644,rich,1,0.168918919,,,,,,,dismal,1,0.163666121,,,,,,,
,,,side,1,0.165562914,black,1,0.17921147,twain,1,0.160513644,use,1,0.17211704,straight,1,0.160513644,peter,1,0.168918919,,,,,,,iv,1,0.163666121,,,,,,,
,,,greeting,1,0.165562914,appear,1,0.17921147,cross,1,0.160513644,vow,1,0.17211704,black,1,0.160513644,forward,1,0.168918919,,,,,,,wast,1,0.163666121,,,,,,,
,,,dooms-day,1,0.165562914,bad,1,0.17921147,fly,1,0.160513644,please,1,0.17211704,appear,1,0.160513644,worser,1,0.168918919,,,,,,,fear,1,0.163666121,,,,,,,
,,,rich,1,0.165562914,haste,1,0.17921147,side,1,0.160513644,choice,1,0.17211704,joys,1,0.160513644,aught,1,0.168918919,,,,,,,remedy,1,0.163666121,,,,,,,
,,,she'll,1,0.165562914,honest,1,0.17921147,laurence's,1,0.160513644,wert,1,0.17211704,night's,1,0.160513644,search,1,0.168918919,,,,,,,devise,1,0.163666121,,,,,,,
,,,is't,1,0.165562914,offer,1,0.17921147,dooms-day,1,0.160513644,faithful,1,0.17211704,third,1,0.160513644,public,1,0.168918919,,,,,,,lights,1,0.163666121,,,,,,,
,,,beauteous,1,0.165562914,smooth,1,0.17921147,mercy,1,0.160513644,dull,1,0.17211704,inconstant,1,0.160513644,happiness,1,0.168918919,,,,,,,fatal,1,0.163666121,,,,,,,
,,,way,1,0.165562914,liberty,1,0.17921147,mercutio's,1,0.160513644,,,,going,1,0.160513644,lest,1,0.168918919,,,,,,,breast,1,0.163666121,,,,,,,
,,,oppression,1,0.165562914,he'll,1,0.17921147,forward,1,0.160513644,,,,skulls,1,0.160513644,wouldst,1,0.168918919,,,,,,,next,1,0.163666121,,,,,,,
,,,aside,1,0.165562914,shape,1,0.17921147,&,1,0.160513644,,,,soundly,1,0.160513644,smiles,1,0.168918919,,,,,,,hid,1,0.163666121,,,,,,,
,,,beats,1,0.165562914,on't,1,0.17921147,seems,1,0.160513644,,,,disobedient,1,0.160513644,nine,1,0.168918919,,,,,,,spring,1,0.163666121,,,,,,,
,,,learn'd,1,0.165562914,,,,gear,1,0.160513644,,,,valour,1,0.160513644,fain,1,0.168918919,,,,,,,paris',1,0.163666121,,,,,,,
,,,follow,1,0.165562914,,,,sirrah,1,0.160513644,,,,array,1,0.160513644,knight,1,0.168918919,,,,,,,heel,1,0.163666121,,,,,,,
,,,beauties,1,0.165562914,,,,oppression,1,0.160513644,,,,please,1,0.160513644,beats,1,0.168918919,,,,,,,speak,1,0.163666121,,,,,,,
,,,fear,1,0.165562914,,,,new,1,0.160513644,,,,beguiled,1,0.160513644,follow,1,0.168918919,,,,,,,inconstant,1,0.163666121,,,,,,,
,,,wisdom,1,0.165562914,,,,seest,1,0.160513644,,,,afore,1,0.160513644,falls,1,0.168918919,,,,,,,things,1,0.163666121,,,,,,,
,,,unless,1,0.165562914,,,,falls,1,0.160513644,,,,,,,beauties,1,0.168918919,,,,,,,gives,1,0.163666121,,,,,,,
,,,fatal,1,0.165562914,,,,stabs,1,0.160513644,,,,,,,breath,1,0.168918919,,,,,,,valour,1,0.163666121,,,,,,,
,,,breast,1,0.165562914,,,,breath,1,0.160513644,,,,,,,devise,1,0.168918919,,,,,,,tailor,1,0.163666121,,,,,,,
,,,jest,1,0.165562914,,,,devise,1,0.160513644,,,,,,,enmity,1,0.168918919,,,,,,,array,1,0.163666121,,,,,,,
,,,fortune,1,0.165562914,,,,drink,1,0.160513644,,,,,,,quick,1,0.168918919,,,,,,,monument,1,0.163666121,,,,,,,
,,,short,1,0.165562914,,,,arm'd,1,0.160513644,,,,,,,hid,1,0.168918919,,,,,,,murder'd,1,0.163666121,,,,,,,
,,,heel,1,0.165562914,,,,fatal,1,0.160513644,,,,,,,ring,1,0.168918919,,,,,,,wert,1,0.163666121,,,,,,,
,,,bade,1,0.165562914,,,,death's,1,0.160513644,,,,,,,sent,1,0.168918919,,,,,,,beguiled,1,0.163666121,,,,,,,
,,,tailor,1,0.165562914,,,,straight,1,0.160513644,,,,,,,heart,1,0.168918919,,,,,,,he'll,1,0.163666121,,,,,,,
,,,liberty,1,0.165562914,,,,joys,1,0.160513644,,,,,,,commend,1,0.168918919,,,,,,,afore,1,0.163666121,,,,,,,
,,,please,1,0.165562914,,,,adventure,1,0.160513644,,,,,,,third,1,0.168918919,,,,,,,even,1,0.163666121,,,,,,,
,,,,,,,,,third,1,0.160513644,,,,,,,inconstant,1,0.168918919,,,,,,,,,,,,,,,,
,,,,,,,,,things,1,0.160513644,,,,,,,going,1,0.168918919,,,,,,,,,,,,,,,,
,,,,,,,,,breathed,1,0.160513644,,,,,,,disobedient,1,0.168918919,,,,,,,,,,,,,,,,
,,,,,,,,,entrance,1,0.160513644,,,,,,,lamentable,1,0.168918919,,,,,,,,,,,,,,,,
,,,,,,,,,murder'd,1,0.160513644,,,,,,,dull,1,0.168918919,,,,,,,,,,,,,,,,
,,,,,,,,,infection,1,0.160513644,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,presently,1,0.160513644,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,horses,1,0.160513644,,,,,,,,,,,,,,,,,,,,,,,,,
