,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
vein,1,0.202020202,approach,1,0.210526316,,,,boy,1,0.243902439,blest,1,0.219298246,,,,hounds,1,0.224719101,wandering,1,0.225733634,because,1,0.254452926,aside,1,0.226244344
fiery,1,0.202020202,old,1,0.210526316,,,,yield,1,0.243902439,marvellous,1,0.219298246,,,,soul,1,0.224719101,because,1,0.225733634,die,1,0.254452926,pat,1,0.226244344
law,1,0.202020202,gracious,1,0.210526316,,,,point,1,0.243902439,milk,1,0.219298246,,,,despised,1,0.224719101,o'er,1,0.225733634,lost,1,0.254452926,action,1,0.226244344
forsooth,1,0.202020202,excellent,1,0.210526316,,,,cold,1,0.243902439,window,1,0.219298246,,,,use,1,0.224719101,fellow,1,0.225733634,game,1,0.254452926,peaseblossom,1,0.226244344
sure,1,0.202020202,quick,1,0.210526316,,,,farewell,1,0.243902439,hours,1,0.219298246,,,,translated,1,0.224719101,choice,1,0.225733634,city,1,0.254452926,cold,1,0.226244344
sweep,1,0.202020202,milk,1,0.210526316,,,,aught,1,0.243902439,turns,1,0.219298246,,,,makes,1,0.224719101,words,1,0.225733634,three,1,0.254452926,knight,1,0.226244344
cut,1,0.202020202,spotted,1,0.210526316,,,,shine,1,0.243902439,kiss,1,0.219298246,,,,courtesy,1,0.224719101,cheeks,1,0.225733634,re-enter,1,0.254452926,yours,1,0.226244344
woo,1,0.202020202,war,1,0.210526316,,,,game,1,0.243902439,forbid,1,0.219298246,,,,alone,1,0.224719101,father,1,0.225733634,,,,fearful,1,0.226244344
trip,1,0.202020202,hang,1,0.210526316,,,,cross,1,0.243902439,use,1,0.219298246,,,,luck,1,0.224719101,attend,1,0.225733634,,,,jest,1,0.226244344
ladies,1,0.202020202,parted,1,0.210526316,,,,folly,1,0.243902439,translated,1,0.219298246,,,,cover,1,0.224719101,,,,,,,die,1,0.226244344
rich,1,0.202020202,mild,1,0.210526316,,,,players,1,0.243902439,makes,1,0.219298246,,,,beams,1,0.224719101,,,,,,,lost,1,0.226244344
nothing,1,0.202020202,soul,1,0.210526316,,,,bold,1,0.243902439,beams,1,0.219298246,,,,like,1,0.224719101,,,,,,,titania,1,0.226244344
e'er,1,0.202020202,jealousy,1,0.210526316,,,,,,,tie,1,0.219298246,,,,between,1,0.224719101,,,,,,,rose,1,0.226244344
wilt,1,0.202020202,bully,1,0.210526316,,,,,,,flowery,1,0.219298246,,,,speech,1,0.224719101,,,,,,,re-enter,1,0.226244344
fight,1,0.202020202,remain,1,0.210526316,,,,,,,fortunate,1,0.219298246,,,,choice,1,0.224719101,,,,,,,attend,1,0.226244344
lovely,1,0.202020202,trifles,1,0.210526316,,,,,,,till,1,0.219298246,,,,bliss,1,0.224719101,,,,,,,bold,1,0.226244344
act,1,0.202020202,release,1,0.210526316,,,,,,,bower,1,0.219298246,,,,players,1,0.224719101,,,,,,,,,
noble,1,0.202020202,often,1,0.210526316,,,,,,,because,1,0.219298246,,,,done,1,0.224719101,,,,,,,,,
key,1,0.202020202,alone,1,0.210526316,,,,,,,thisbe,1,0.219298246,,,,,,,,,,,,,,,
draw,1,0.202020202,watery,1,0.210526316,,,,,,,aught,1,0.219298246,,,,,,,,,,,,,,,
old,1,0.202020202,luck,1,0.210526316,,,,,,,like,1,0.219298246,,,,,,,,,,,,,,,
light,1,0.202020202,aside,1,0.210526316,,,,,,,yours,1,0.219298246,,,,,,,,,,,,,,,
masters,1,0.202020202,us,1,0.210526316,,,,,,,speech,1,0.219298246,,,,,,,,,,,,,,,
perfect,1,0.202020202,sense,1,0.210526316,,,,,,,warbling,1,0.219298246,,,,,,,,,,,,,,,
barren,1,0.202020202,point,1,0.210526316,,,,,,,lost,1,0.219298246,,,,,,,,,,,,,,,
wrong,1,0.202020202,aunt,1,0.210526316,,,,,,,past,1,0.219298246,,,,,,,,,,,,,,,
quick,1,0.202020202,cold,1,0.210526316,,,,,,,sun,1,0.219298246,,,,,,,,,,,,,,,
delight,1,0.202020202,knight,1,0.210526316,,,,,,,bliss,1,0.219298246,,,,,,,,,,,,,,,
innocence,1,0.202020202,because,1,0.210526316,,,,,,,indian,1,0.219298246,,,,,,,,,,,,,,,
turns,1,0.202020202,yours,1,0.210526316,,,,,,,,,,,,,,,,,,,,,,,,
sometimes,1,0.202020202,jest,1,0.210526316,,,,,,,,,,,,,,,,,,,,,,,,
bully,1,0.202020202,cross,1,0.210526316,,,,,,,,,,,,,,,,,,,,,,,,
thank,1,0.202020202,glass,1,0.210526316,,,,,,,,,,,,,,,,,,,,,,,,
flower,1,0.202020202,grows,1,0.210526316,,,,,,,,,,,,,,,,,,,,,,,,
courtesy,1,0.202020202,,,,,,,,,,,,,,,,,,,,,,,,,,,
watery,1,0.202020202,,,,,,,,,,,,,,,,,,,,,,,,,,,
consent,1,0.202020202,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover,1,0.202020202,,,,,,,,,,,,,,,,,,,,,,,,,,,
wot,1,0.202020202,,,,,,,,,,,,,,,,,,,,,,,,,,,
bower,1,0.202020202,,,,,,,,,,,,,,,,,,,,,,,,,,,
stranger,1,0.202020202,,,,,,,,,,,,,,,,,,,,,,,,,,,
past,1,0.202020202,,,,,,,,,,,,,,,,,,,,,,,,,,,
three,1,0.202020202,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,1,0.202020202,,,,,,,,,,,,,,,,,,,,,,,,,,,
re-enter,1,0.202020202,,,,,,,,,,,,,,,,,,,,,,,,,,,
lady,1,0.202020202,,,,,,,,,,,,,,,,,,,,,,,,,,,
